experiment,fitness,
5.42.5452,88.714,
37.19.7297,86.137,
54.39.8856,83.937,
36.2.4968,82.984,
15.25.4667,82.557,
44.17.5651,82.266,
14.4.8673,81.259,
45.37.1795,80.289,
35.37.6977,80.26,
16.17.3198,80.055,
45.10.8546,80.041,
36.27.2913,79.997,
7.37.7923,79.719,
14.31.6691,79.697,
46.3.2432,79.57,
43.49.4216,78.942,
17.15.6882,77.937,
15.50.5585,76.924,
16.43.5844,76.896,
11.58.1606,76.466,
36.52.5073,75.983,
7.6.9979,75.925,
43.20.5592,75.908,
5.14.2606,75.613,
42.50.3225,75.558,
18.6.8178,75.556,
6.6.7963,75.365,
49.36.7554,75.268,
42.23.1377,75.254,
44.43.1160,75.157,
37.42.9727,75.144,
25.25.4818,74.789,
25.50.8697,74.696,
16.23.5374,74.607,
38.37.6931,74.492,
58.45.9076,74.132,
6.36.4804,73.881,
38.10.3037,73.844,
14.57.4517,73.826,
47.49.5521,73.69,
17.10.6218,73.367,
18.32.1887,73.112,
19.24.8726,73.083,
56.28.6530,73.083,
8.38.7645,73.019,
57.51.3894,72.56,
17.40.6552,72.435,
8.6.7753,72.318,
41.25.5471,71.474,
4.20.1910,71.438,
58.18.8247,71.322,
32.35.5924,71.185,
32.10.1338,71.082,
51.1.4043,70.602,
26.16.6841,70.545,
34.46.1444,70.472,
16.47.5916,70.222,
55.33.2561,69.946,
26.43.6756,69.424,
11.12.4945,69.334,
39.33.2089,69.273,
24.3.6134,69.135,
56.1.6842,68.978,
18.58.9969,68.461,
40.27.9996,68.403,
33.54.8031,68.393,
27.10.6799,68.315,
3.53.9249,68.086,
2.59.4952,68.081,
46.29.2566,67.807,
48.13.4657,67.756,
51.29.7745,67.619,
40.0.1944,67.597,
39.5.5671,66.8,
55.4.2563,66.584,
24.58.7084,66.171,
40.56.1845,66.059,
1.39.7424,64.803,
2.5.9661,64.762,
59.12.5939,64.653,
2.32.2891,64.43,
59.41.8794,64.404,
54.9.9985,64.347,
57.24.1664,64.287,
47.23.3863,63.563,
41.53.5602,63.516,
0.11.7982,63.397,
33.28.7506,63.269,
1.10.3036,62.909,
10.10.4316,62.86,
53.36.9887,62.786,
34.20.8676,62.451,
24.29.5903,61.788,
52.31.4681,61.678,
4.45.9785,61.646,
33.0.9992,61.642,
50.0.9485,61.15,
9.40.1889,61.091,
50.31.1103,60.871,
46.55.1943,60.455,
20.55.1725,60.443,
9.9.6894,60.106,
35.10.9822,59.872,
12.45.4797,59.724,
10.39.1592,59.476,
53.3.6937,59.412,
0.40.2711,59.23,
51.58.8504,58.936,
56.54.8297,58.882,
3.25.5691,58.688,
13.35.8205,58.027,
23.0.9779,57.888,
30.31.6989,57.477,
20.22.9645,56.761,
29.57.8364,56.354,
21.57.8549,56.107,
27.37.8253,55.892,
28.12.1654,55.535,
23.31.6261,55.068,
31.4.3099,55.053,
28.47.2656,54.874,
31.37.3653,54.378,
22.28.7920,53.049,
29.22.4198,52.777,
48.38.6430,52.271,
21.25.8002,52.226,
19.49.8346,51.052,
49.7.2223,50.681,

